two_theta,CPS,ESD
26.86,4.17,1
26.88,25,2.449
26.9,8.33,1.414
26.92,8.33,1.414
26.94,12.5,1.732
26.96,29.17,2.646
26.98,8.33,1.414
27,8.33,1.414
27.02,16.67,2
27.04,29.17,2.646
27.06,8.33,1.414
27.08,20.83,2.236
27.1,20.83,2.236
27.12,16.67,2
27.14,4.17,1
27.16,8.33,1.414
27.18,16.67,2
27.2,0,0
27.22,8.33,1.414
27.24,4.17,1
27.26,12.5,1.732
27.28,8.33,1.414
27.3,16.67,2
27.32,12.5,1.732
27.34,4.17,1
27.36,33.33,2.828
27.38,20.83,2.236
27.4,16.67,2
27.42,25,2.449
27.44,12.5,1.732
27.46,4.17,1
27.48,12.5,1.732
27.5,4.17,1
27.52,12.5,1.732
27.54,29.17,2.646
27.56,16.67,2
27.58,0,0
27.6,4.17,1
27.62,12.5,1.732
27.64,12.5,1.732
27.66,16.67,2
27.68,8.33,1.414
27.7,20.83,2.236
27.72,0,0
27.74,20.83,2.236
27.76,20.83,2.236
27.78,8.33,1.414
27.8,8.33,1.414
27.82,8.33,1.414
27.84,16.67,2
27.86,8.33,1.414
27.88,12.5,1.732
27.9,8.33,1.414
27.92,8.33,1.414
27.94,25,2.449
27.96,29.17,2.646
27.98,20.83,2.236
28,0,0
28.02,16.67,2
28.04,8.33,1.414
28.06,16.67,2
28.08,20.83,2.236
28.1,4.17,1
28.12,12.5,1.732
28.14,16.67,2
28.16,20.83,2.236
28.18,16.67,2
28.2,12.5,1.732
28.22,12.5,1.732
28.24,0,0
28.26,0,0
28.28,8.33,1.414
28.3,12.5,1.732
28.32,4.17,1
28.34,33.33,2.828
28.36,29.17,2.646
28.38,25,2.449
28.4,8.33,1.414
28.42,8.33,1.414
28.44,4.17,1
28.46,4.17,1
28.48,0,0
28.5,8.33,1.414
28.52,8.33,1.414
28.54,12.5,1.732
28.56,8.33,1.414
28.58,4.17,1
28.6,4.17,1
28.62,12.5,1.732
28.64,12.5,1.732
28.66,12.5,1.732
28.68,12.5,1.732
28.7,16.67,2
28.72,8.33,1.414
28.74,12.5,1.732
28.76,12.5,1.732
28.78,4.17,1
28.8,12.5,1.732
28.82,8.33,1.414
28.84,16.67,2
28.86,20.83,2.236
28.88,50,3.464
28.9,33.33,2.828
28.92,41.67,3.162
28.94,12.5,1.732
28.96,33.33,2.828
28.98,33.33,2.828
29,33.33,2.828
29.02,20.83,2.236
29.04,4.17,1
29.06,8.33,1.414
29.08,25,2.449
29.1,8.33,1.414
29.12,4.17,1
29.14,8.33,1.414
29.16,12.5,1.732
29.18,12.5,1.732
29.2,12.5,1.732
29.22,0,0
29.24,8.33,1.414
29.26,0,0
29.28,20.83,2.236
29.3,8.33,1.414
29.32,0,0
29.34,4.17,1
29.36,20.83,2.236
29.38,16.67,2
29.4,20.83,2.236
29.42,0,0
29.44,12.5,1.732
29.46,4.17,1
29.48,16.67,2
29.5,8.33,1.414
29.52,4.17,1
29.54,4.17,1
29.56,16.67,2
29.58,12.5,1.732
29.6,12.5,1.732
29.62,8.33,1.414
29.64,4.17,1
29.66,8.33,1.414
29.68,16.67,2
29.7,4.17,1
29.72,12.5,1.732
29.74,16.67,2
29.76,8.33,1.414
29.78,12.5,1.732
29.8,8.33,1.414
29.82,12.5,1.732
29.84,16.67,2
29.86,8.33,1.414
29.88,0,0
29.9,4.17,1
29.92,12.5,1.732
29.94,20.83,2.236
29.96,12.5,1.732
29.98,4.17,1
30,8.33,1.414
30.02,4.17,1
30.04,16.67,2
30.06,4.17,1
30.08,0,0
30.1,12.5,1.732
30.12,4.17,1
30.14,12.5,1.732
30.16,12.5,1.732
30.18,4.17,1
30.2,0,0
30.22,0,0
30.24,12.5,1.732
30.26,12.5,1.732
30.28,25,2.449
30.3,4.17,1
30.32,16.67,2
30.34,25,2.449
30.36,12.5,1.732
30.38,4.17,1
30.4,4.17,1
30.42,12.5,1.732
30.44,8.33,1.414
30.46,8.33,1.414
30.48,4.17,1
30.5,0,0
30.52,12.5,1.732
30.54,8.33,1.414
30.56,8.33,1.414
30.58,16.67,2
30.6,0,0
30.62,16.67,2
30.64,8.33,1.414
30.66,25,2.449
30.68,20.83,2.236
30.7,4.17,1
30.72,25,2.449
30.74,4.17,1
30.76,16.67,2
30.78,12.5,1.732
30.8,0,0
30.82,4.17,1
30.84,8.33,1.414
30.86,0,0
30.88,4.17,1
30.9,4.17,1
